Building Name: PSEUDO S1-M(HC) - Soil D,,,,,,,,,,,,,,,,,,,
Description,,"	",  Usage,School,,,,,,,,,,,,,,,
Latitude,14.55036,"	", Median Collapse Sa(g),4.255182482,,,,,,,,,,,,,,,
Longitude,121.00892,"	", Beta Collapse,0.9,,,,,,,,,,,,,,,
Number of Stories,5,,,,,,,,,,,,,,,,,,
Floor Area (sq.ft.),37444.91713,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Intensity, Intensity Description, MAFE, Sa, BetaM, BetaGM, EDP Type, Storey, Direction,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,1,1,0.058989748,0.095036067,0.134763971,0.145377543,0.150914177,0.156638624,0.16258021,0.168771999,0.182063933,0.258172074,0.071939692
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,1,2,0.058989748,0.095036067,0.134763971,0.145377543,0.150914177,0.156638624,0.16258021,0.168771999,0.182063933,0.258172074,0.071939692
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,1,3,0.083424101,0.134401295,0.190585036,0.205594893,0.213424875,0.221520467,0.229923138,0.23867965,0.257477283,0.365110449,0.101738088
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,2,1,0.058566547,0.094354265,0.133797155,0.144334584,0.149831497,0.155514876,0.161413837,0.167561205,0.18075778,0.256319911,0.071423587
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,2,2,0.058566547,0.094354265,0.133797155,0.144334584,0.149831497,0.155514876,0.161413837,0.167561205,0.18075778,0.256319911,0.071423587
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,2,3,0.082825605,0.133437081,0.189217752,0.204119926,0.211893735,0.219931247,0.228273637,0.236967328,0.255630104,0.362491095,0.101008205
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,3,1,0.058146382,0.093677354,0.132837276,0.143299107,0.148756584,0.154399191,0.160255831,0.166359097,0.179460998,0.254481036,0.070911184
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,3,2,0.058146382,0.093677354,0.132837276,0.143299107,0.148756584,0.154399191,0.160255831,0.166359097,0.179460998,0.254481036,0.070911184
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,3,3,0.082231402,0.132479784,0.187860277,0.202655541,0.210373579,0.218353429,0.22663597,0.235267291,0.253796178,0.359890532,0.100283558
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,4,1,0.057729232,0.093005299,0.131884282,0.142271059,0.147689384,0.153291509,0.159106133,0.165165613,0.178173519,0.252655353,0.070402457
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,4,2,0.057729232,0.093005299,0.131884282,0.142271059,0.147689384,0.153291509,0.159106133,0.165165613,0.178173519,0.252655353,0.070402457
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,4,3,0.081641463,0.131529356,0.18651254,0.201201661,0.208864329,0.216786931,0.225010051,0.23357945,0.251975408,0.357308626,0.099564109
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,5,1,0.057287569,0.092293754,0.13087529,0.141182602,0.146559474,0.152118739,0.157888878,0.163902,0.176810388,0.250722392,0.069863837
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,5,2,0.057287569,0.092293754,0.13087529,0.141182602,0.146559474,0.152118739,0.157888878,0.163902,0.176810388,0.250722392,0.069863837
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,5,3,0.081016858,0.130523079,0.18508561,0.199662351,0.207266395,0.215128384,0.223288593,0.231792431,0.250047649,0.354575006,0.098802386
1, 63in50,0.02,0.387799768,0.2,0,Peak Floor Velocity,0,1,0.08769768,0.144097565,0.207304493,0.224332627,0.233236112,0.24245582,0.252039978,0.262043134,0.283567538,0.407951547,0.107830366
1, 63in50,0.02,0.387799768,0.2,0,Peak Floor Velocity,0,2,0.08769768,0.144097565,0.207304493,0.224332627,0.233236112,0.24245582,0.252039978,0.262043134,0.283567538,0.407951547,0.107830366
1, 63in50,0.02,0.387799768,0.2,0,Peak Floor Velocity,0,3,0.124023249,0.203784731,0.293172825,0.317254243,0.329845673,0.342884308,0.356438355,0.370584954,0.401025057,0.57693061,0.152495166
1, 63in50,0.02,0.387799768,0.2,0,Peak Floor Velocity,1,1,4.124961389,6.777794933,9.750805578,10.55174347,10.97052916,11.40418873,11.85499065,12.32550061,13.33792573,19.18847087,5.071925446
1, 63in50,0.02,0.387799768,0.2,0,Peak Floor Velocity,1,2,4.124961389,6.777794933,9.750805578,10.55174347,10.97052916,11.40418873,11.85499065,12.32550061,13.33792573,19.18847087,5.071925446
